date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,0,-2,29,7,11,124,SE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,77,10,6,999,30,58,-2,29,-5,22,-6,22,11,18,-6,22,0
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,300,-1,30,8,13,130,SE,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.1,0.0,69,10,6,997,30,74,-1,30,-6,21,-5,22,12,19,-5,22,0
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,600,-1,30,7,12,135,SE,326,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0027_light_snow_showers_night.png,Light snow,0.1,0.0,66,8,4,996,30,64,-1,30,-7,20,-5,23,11,17,-5,23,0
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,900,-1,31,6,10,129,SE,329,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Patchy moderate snow,0.0,0.0,62,9,5,996,30,51,-1,31,-7,19,-4,25,9,14,-4,25,1
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,1200,1,34,5,8,98,E,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.1,0.0,58,5,2,995,30,78,1,34,-7,20,-2,29,7,11,-2,29,2
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,1500,2,36,5,8,54,NE,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.2,0.0,65,4,2,993,30,78,2,36,-4,25,-0,31,7,12,-0,31,1
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,1800,1,33,6,10,46,NE,263,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy light drizzle,0.2,0.0,80,8,4,991,30,77,1,33,-2,28,-2,28,11,17,-2,28,0
2019-02-01,2,36,-1,30,1,33,0.1,5.3,2,2100,-0,32,5,9,46,NE,185,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0037_cloudy_with_sleet_night.png,Patchy freezing drizzle possible,0.1,0.0,88,10,6,990,30,74,-0,32,-2,29,-3,27,10,16,-3,27,0
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,0,-0,31,4,6,33,NNE,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.0,0.0,91,10,6,989,30,53,-0,31,-2,29,-3,27,8,13,-3,27,0
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,300,-1,30,3,5,122,ESE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,94,5,2,991,30,72,-1,30,-2,29,-3,28,6,10,-3,28,0
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,600,-0,32,3,5,175,S,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.7,0.0,96,3,1,993,30,95,-0,32,-1,31,-2,29,5,8,-2,29,0
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,900,1,33,3,5,206,SSW,314,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0021_cloudy_with_sleet.png,Moderate or heavy freezing rain,2.1,0.1,96,5,3,994,30,100,1,33,0,32,-1,31,4,7,-1,31,1
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,1200,3,37,3,5,229,SW,320,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0019_cloudy_with_light_snow.png,Moderate or heavy sleet,1.4,0.1,92,3,2,996,30,95,3,37,1,34,1,34,4,6,1,34,1
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,1500,3,38,2,3,140,SE,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.3,0.0,92,7,4,997,30,73,3,38,2,36,3,37,2,3,3,37,1
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,1800,2,36,1,2,94,E,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.0,0.0,95,5,2,1000,30,88,2,36,1,34,2,36,2,3,2,36,0
2019-02-02,3,38,0,33,2,36,0.0,3.6,1,2100,-1,30,3,4,259,WSW,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,95,2,1,1002,30,100,1,33,1,34,-1,30,4,7,-1,30,0
2019-02-03,1,34,0,32,0,33,12.1,3.6,1,0,-0,32,5,8,339,NNW,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,95,2,1,1004,30,100,1,34,1,33,-2,28,8,13,-2,28,0
