date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,0,2,35,4,6,276,W,248,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,98,0,0,1034,31,100,3,37,3,38,1,33,7,11,1,33,0
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,300,4,39,6,9,261,W,248,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,94,7,4,1032,31,94,4,39,3,38,2,35,9,14,2,35,0
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,600,4,40,7,12,252,WSW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,92,10,6,1031,31,97,4,40,3,38,2,35,11,17,2,35,0
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,900,5,41,9,15,259,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0.0,89,10,6,1029,31,100,5,41,3,37,2,35,13,21,2,35,1
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,1200,5,41,11,18,269,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.0,0.0,85,10,6,1028,31,100,5,41,3,37,2,35,15,24,2,35,2
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,1500,5,41,13,20,266,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.2,0.0,83,5,2,1026,31,100,5,41,2,36,1,34,17,28,1,34,2
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,1800,4,38,15,23,268,W,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,0.6,0.0,84,7,4,1025,31,100,5,41,3,37,2,36,20,32,2,36,0
2019-01-01,5,41,4,40,5,41,0.0,3.1,1,2100,0,32,16,25,292,WNW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.1,0.0,78,9,5,1025,31,92,4,38,2,35,0,32,22,35,0,32,0
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,0,1,33,16,26,309,NW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.7,0.1,73,4,2,1026,31,82,2,36,-2,29,-3,27,24,39,-3,27,0
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,300,1,34,15,24,301,WNW,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,0.7,0.0,74,7,4,1025,31,74,1,34,-3,26,-4,24,24,39,-4,24,0
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,600,1,34,16,26,298,WNW,326,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0027_light_snow_showers_night.png,Light snow,0.6,0.0,77,5,2,1026,31,91,1,34,-2,28,-5,24,24,39,-5,24,0
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,900,1,34,16,26,316,NW,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,1.1,0.0,75,5,3,1027,31,71,1,34,-3,27,-5,24,25,40,-5,24,1
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,1200,1,34,17,27,331,NNW,371,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Moderate or heavy snow showers,1.7,0.1,66,2,1,1028,31,86,1,34,-5,23,-5,23,25,41,-5,23,1
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,1500,0,33,14,22,335,NNW,230,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Blizzard,0.9,0.0,65,5,2,1030,31,81,0,33,-6,22,-5,23,20,32,-5,23,1
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,1800,-1,30,10,17,328,NNW,371,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0028_heavy_snow_showers_night.png,Moderate or heavy snow showers,0.5,0.0,73,7,4,1033,31,79,-1,30,-6,22,-6,21,15,24,-6,21,0
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,2100,-2,28,9,14,320,NW,371,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0028_heavy_snow_showers_night.png,Moderate or heavy snow showers,0.2,0.0,77,7,4,1035,31,91,-2,28,-6,22,-7,20,14,22,-7,20,0
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,0,-2,29,9,14,312,NW,371,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0028_heavy_snow_showers_night.png,Moderate or heavy snow showers,0.2,0.0,77,7,4,1036,31,74,-2,29,-5,22,-7,20,13,21,-7,20,0
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,300,-2,29,9,14,309,NW,371,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0028_heavy_snow_showers_night.png,Moderate or heavy snow showers,0.1,0.0,73,8,5,1036,31,73,-2,29,-6,21,-6,21,12,20,-6,21,0
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,600,-2,29,9,14,304,WNW,179,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0029_sleet_showers_night.png,Patchy snow possible,0.0,0.0,73,10,6,1037,31,57,-2,29,-6,21,-7,20,13,20,-7,20,0
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,900,-1,30,9,15,305,NW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,69,10,6,1037,31,51,-1,30,-6,21,-6,21,12,19,-6,21,2
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,1200,0,33,10,16,306,NW,323,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0011_light_snow_showers.png,Patchy light snow,0.0,0.0,56,10,6,1036,31,78,0,33,-7,19,-4,25,12,19,-4,25,1
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,1500,1,33,10,16,304,NW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,61,10,6,1035,31,91,1,33,-6,21,-4,25,13,21,-4,25,1
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,1800,0,32,10,16,312,NW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,72,10,6,1035,31,81,0,32,-4,24,-4,24,14,23,-4,24,0
2019-01-03,1,34,-2,28,0,31,0.3,5.0,1,2100,0,32,9,14,319,NW,326,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0027_light_snow_showers_night.png,Light snow,0.1,0.0,77,10,6,1035,31,92,0,32,-4,25,-5,24,13,21,-5,24,0
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,0,-1,31,9,14,317,NW,326,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0027_light_snow_showers_night.png,Light snow,0.1,0.0,79,7,4,1036,31,100,-1,31,-4,25,-5,23,12,20,-5,23,0
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,300,-2,29,7,11,311,NW,332,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Moderate snow,0.2,0.0,86,6,3,1037,31,76,-2,29,-4,25,-6,22,10,16,-6,22,0
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,600,-2,28,6,10,302,WNW,371,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0028_heavy_snow_showers_night.png,Moderate or heavy snow showers,0.1,0.0,92,9,5,1037,31,81,-2,28,-4,26,-6,21,9,14,-6,21,0
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,900,-1,29,7,11,283,WNW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.3,0.0,90,5,2,1037,31,97,-1,29,-3,27,-5,23,9,14,-5,23,1
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,1200,0,32,8,13,272,W,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,1.2,0.0,87,2,1,1036,31,100,0,32,-2,28,-4,24,11,17,-4,24,1
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,1500,0,33,9,15,271,W,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,0.6,0.0,82,4,2,1034,31,100,0,33,-2,28,-4,25,13,20,-4,25,1
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,1800,0,33,10,17,277,W,332,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Moderate snow,0.7,0.0,85,3,1,1032,31,100,0,33,-2,29,-4,24,14,23,-4,24,0
2019-01-04,0,33,-3,28,-1,31,3.1,3.1,1,2100,-1,30,12,19,279,W,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,0.7,0.0,88,2,1,1032,31,100,1,34,-1,30,-3,27,17,27,-3,27,0
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,0,0,32,11,18,280,W,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,0.6,0.0,90,2,1,1031,31,100,1,34,-1,31,-3,26,17,27,-3,26,0
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,300,1,33,12,19,275,W,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,2.1,0.1,90,2,1,1029,31,100,1,33,-1,31,-4,24,19,30,-4,24,0
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,600,1,34,15,24,274,W,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,5.1,0.2,90,2,1,1027,31,100,1,34,0,31,-4,24,22,36,-4,24,0
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,900,2,35,15,24,279,W,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,5.8,0.2,91,5,2,1025,31,100,2,35,1,33,-3,26,22,36,-3,26,1
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,1200,2,35,13,22,283,WNW,320,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0019_cloudy_with_light_snow.png,Moderate or heavy sleet,6.9,0.3,95,5,3,1024,31,100,2,35,1,34,-3,27,22,36,-3,27,1
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,1500,3,37,11,17,293,WNW,308,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Heavy rain,3.7,0.1,98,8,4,1024,31,100,3,37,3,37,-1,30,18,30,-1,30,1
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,1800,4,38,9,15,306,NW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.8,0.1,98,9,5,1025,31,100,4,38,3,38,0,32,16,26,0,32,0
2019-01-05,4,38,2,35,2,36,11.6,3.1,1,2100,3,38,8,13,310,NW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,0.8,0.0,98,10,6,1026,31,100,3,38,3,38,0,32,14,23,0,32,0
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,0,3,37,7,12,304,NW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.1,0.0,98,3,2,1027,31,100,3,37,3,37,0,31,12,20,0,31,0
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,300,2,36,7,12,305,NW,248,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,97,1,0,1027,31,95,2,36,2,35,-1,30,12,20,-1,30,0
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,600,2,35,7,11,305,NW,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,96,2,1,1027,31,93,2,35,1,35,-1,29,12,19,-1,29,0
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,900,2,36,6,10,320,NW,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,96,2,1,1029,31,82,2,36,2,35,-1,31,9,15,-1,31,1
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,1200,3,38,6,10,323,NW,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,91,7,4,1029,31,87,3,38,2,36,1,33,8,13,1,33,1
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,1500,3,37,5,8,309,NW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,93,5,2,1030,31,97,3,37,2,36,1,34,7,11,1,34,1
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,1800,2,36,4,6,304,WNW,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,96,2,1,1031,31,100,2,36,1,35,0,33,6,10,0,33,0
2019-01-06,4,39,2,35,3,37,0.0,3.1,1,2100,-1,30,3,5,293,WNW,143,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,97,1,0,1032,31,100,2,35,1,34,-2,29,5,8,-2,29,0
2019-01-07,4,38,2,35,3,37,0.0,3.1,1,0,0,32,3,5,285,WNW,248,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.2,0.0,98,1,0,1032,31,100,2,35,1,34,-1,30,6,10,-1,30,0
2019-01-07,4,38,2,35,3,37,0.0,3.1,1,300,2,35,6,10,287,WNW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,0.4,0.0,97,2,1,1032,31,100,2,35,1,34,-1,30,11,17,-1,30,0
2019-01-07,4,38,2,35,3,37,0.0,3.1,1,600,2,35,8,13,294,WNW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,0.5,0.0,95,2,1,1031,31,100,2,35,1,34,-2,29,13,22,-2,29,0
2019-01-07,4,38,2,35,3,37,0.0,3.1,1,900,2,36,8,13,302,WNW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.2,0.0,93,7,4,1032,31,100,2,36,1,34,-1,30,13,21,-1,30,1
2019-01-07,4,38,2,35,3,37,0.0,3.1,1,1200,3,38,8,13,301,WNW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0.0,90,9,5,1032,31,100,3,38,2,35,0,32,11,18,0,32,1
2019-01-07,4,38,2,35,3,37,0.0,3.1,1,1500,3,38,7,12,292,WNW,317,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0021_cloudy_with_sleet.png,Light sleet,0.1,0.0,88,10,6,1031,31,100,3,38,2,35,0,32,10,17,0,32,1
