date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-01-01,5,41,4,40,5,41,0,3.1,1,0,2,35,4,6,276,W,248,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0,0,98,0,0,1034,31,100,3,37,3,38,1,33,7,11,1,33,0
2019-01-01,5,41,4,40,5,41,0,3.1,1,300,4,39,6,9,261,W,248,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0,0,94,7,4,1032,31,94,4,39,3,38,2,35,9,14,2,35,0
2019-01-01,5,41,4,40,5,41,0,3.1,1,600,4,40,7,12,252,WSW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,92,10,6,1031,31,97,4,40,3,38,2,35,11,17,2,35,0
2019-01-01,5,41,4,40,5,41,0,3.1,1,900,5,41,9,15,259,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0,89,10,6,1029,31,100,5,41,3,37,2,35,13,21,2,35,1
2019-01-01,5,41,4,40,5,41,0,3.1,1,1200,5,41,11,18,269,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0,0,85,10,6,1028,31,100,5,41,3,37,2,35,15,24,2,35,2
2019-01-01,5,41,4,40,5,41,0,3.1,1,1500,5,41,13,20,266,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.2,0,83,5,2,1026,31,100,5,41,2,36,1,34,17,28,1,34,2
2019-01-01,5,41,4,40,5,41,0,3.1,1,1800,4,38,15,23,268,W,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,0.6,0,84,7,4,1025,31,100,5,41,3,37,2,36,20,32,2,36,0
2019-01-01,5,41,4,40,5,41,0,3.1,1,2100,0,32,16,25,292,WNW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.1,0,78,9,5,1025,31,92,4,38,2,35,0,32,22,35,0,32,0
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,0,1,33,16,26,309,NW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.7,0.1,73,4,2,1026,31,82,2,36,-2,29,-3,27,24,39,-3,27,0
2019-01-02,1,34,0,32,1,33,4.1,3.1,1,300,1,34,15,24,301,WNW,338,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0036_cloudy_with_heavy_snow_night.png,Heavy snow,0.7,0,74,7,4,1025,31,74,1,34,-3,26,-4,24,24,39,-4,24,0
