date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,0,22,72,2,4,231,SW,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,76,10,6,1017,31,2,25,77,18,64,22,72,4,7,25,77,0
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,300,20,68,2,4,190,S,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,82,10,6,1016,30,6,21,70,17,62,20,68,4,7,20,68,0
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,600,22,71,3,5,196,SSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,77,10,6,1015,30,5,23,73,17,63,22,71,5,8,22,71,0
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,900,26,78,4,7,230,SW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.1,0.0,68,9,5,1016,30,54,28,82,19,67,26,78,5,9,28,82,7
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,1200,30,85,9,14,258,WSW,200,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0016_thundery_showers.png,Thundery outbreaks possible,0.2,0.0,58,10,6,1015,30,80,32,89,20,68,30,85,10,17,32,89,6
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,1500,29,85,11,18,281,W,386,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0016_thundery_showers.png,Patchy light rain with thunder,0.4,0.0,56,10,6,1015,30,74,31,88,20,67,29,85,14,22,31,88,6
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,1800,26,79,7,12,281,WNW,386,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0032_thundery_showers_night.png,Patchy light rain with thunder,1.0,0.0,65,10,6,1016,30,80,28,82,19,67,26,79,10,17,28,82,0
2019-07-01,31,87,19,67,27,81,0.0,11.8,7,2100,22,72,4,7,285,WNW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.6,0.0,66,9,5,1018,31,76,23,73,16,60,22,72,8,13,23,73,0
2019-07-02,25,77,15,60,22,71,0.0,13.6,5,0,19,65,4,7,320,NW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.2,0.0,66,10,6,1018,31,75,19,65,12,54,19,65,9,15,19,65,0
2019-07-02,25,77,15,60,22,71,0.0,13.6,5,300,16,61,5,9,337,NNW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.3,0.0,79,9,5,1018,31,80,16,61,12,54,16,61,11,17,16,61,0
