date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,0,6,43,4,6,332,NNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,88,10,6,1019,31,8,6,43,5,40,5,42,8,12,5,42,0
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,300,5,41,3,5,309,NW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,86,10,6,1019,31,11,5,41,3,37,4,39,7,12,4,39,0
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,600,8,46,3,5,300,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,78,10,6,1018,31,7,8,46,4,39,7,44,5,8,7,44,0
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,900,13,56,4,7,310,NW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,62,10,6,1016,30,63,13,56,6,43,13,56,5,8,13,56,4
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,1200,16,61,5,8,339,NNW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0.0,52,10,6,1015,30,80,16,61,7,44,16,61,6,9,16,61,4
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,1500,17,63,5,8,121,ESE,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.0,0.0,49,10,6,1014,30,54,17,63,7,44,17,63,5,9,17,63,4
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,1800,15,59,2,3,170,S,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,62,10,6,1013,30,31,15,59,8,46,15,59,3,5,15,59,0
2019-05-01,18,64,5,40,15,58,0.0,12.4,4,2100,11,53,2,3,258,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,80,10,6,1014,30,26,11,53,8,46,11,53,4,7,11,53,0
2019-05-02,18,65,9,47,16,61,0.0,12.4,5,0,9,49,3,5,247,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,90,10,6,1014,30,32,9,49,8,46,9,49,6,10,9,49,0
2019-05-02,18,65,9,47,16,61,0.0,12.4,5,300,9,48,3,5,228,SW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,88,10,6,1012,30,37,9,48,7,44,8,47,6,10,8,47,0
