date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,0,4,39,2,4,75,ENE,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,85,10,6,1022,31,0,4,39,2,35,4,38,3,5,4,38,0
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,300,2,36,3,4,90,E,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,87,10,6,1021,31,1,2,36,0,33,1,35,3,5,1,35,0
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,600,1,33,4,6,115,ESE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,88,10,6,1020,31,9,1,33,-1,30,-1,30,5,9,-1,30,0
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,900,3,37,6,10,134,SE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,80,10,6,1018,31,35,3,37,-0,31,0,32,8,12,0,32,2
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,1200,7,44,7,11,139,SE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,72,10,6,1014,30,59,7,44,2,36,5,40,8,13,5,40,3
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,1500,7,45,6,10,134,SE,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,76,10,6,1011,30,52,7,45,4,38,6,42,8,13,6,42,2
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,1800,7,44,5,8,139,SE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,81,10,6,1010,30,73,7,44,4,39,5,41,8,13,5,41,0
2019-11-01,8,46,0,32,5,41,0.0,8.7,2,2100,6,43,6,9,139,SE,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.1,0.0,82,7,4,1008,30,67,6,43,3,38,4,40,10,16,4,40,0
2019-11-02,11,51,6,42,9,49,0.0,3.6,2,0,6,42,7,11,138,SE,263,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy light drizzle,0.5,0.0,85,5,3,1006,30,67,6,42,4,38,4,38,12,19,4,38,0
2019-11-02,11,51,6,42,9,49,0.0,3.6,2,300,6,43,8,12,143,SE,263,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy light drizzle,0.6,0.0,92,3,1,1003,30,91,6,43,5,41,3,38,13,21,3,38,0
2019-11-02,11,51,6,42,9,49,0.0,3.6,2,600,7,45,7,12,160,SSE,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,1.3,0.1,96,7,4,1001,30,100,7,45,7,44,5,41,12,19,5,41,0
