date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,0,8,46,9,15,269,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,83,10,6,1017,31,26,8,46,5,41,5,41,15,24,5,41,0
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,300,7,44,8,12,259,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.1,0.0,85,10,6,1016,30,68,7,44,5,40,5,40,13,20,5,40,0
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,600,7,44,8,12,259,W,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.4,0.0,87,5,2,1015,30,97,7,44,5,41,5,40,12,19,5,40,0
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,900,8,47,10,17,270,W,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.2,0.0,78,7,4,1014,30,100,8,47,5,40,6,42,13,22,6,42,2
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,1200,9,49,11,17,277,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.5,0.0,74,10,6,1014,30,100,9,49,5,40,7,44,13,21,7,44,2
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,1500,9,48,9,15,278,W,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,0.6,0.0,77,10,6,1013,30,90,9,48,5,41,7,44,11,18,7,44,2
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,1800,8,47,7,12,279,W,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.5,0.0,82,10,6,1015,30,95,8,47,5,42,6,43,10,16,6,43,0
2019-03-01,9,49,7,44,9,47,0.0,4.1,3,2100,8,46,8,13,281,WNW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.4,0.0,87,10,6,1017,30,91,8,46,6,42,5,41,11,18,5,41,0
2019-03-02,8,47,5,40,7,44,0.0,4.1,2,0,7,44,7,12,285,WNW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.4,0.0,91,10,6,1018,31,96,7,44,5,42,4,40,11,18,4,40,0
2019-03-02,8,47,5,40,7,44,0.0,4.1,2,300,6,43,8,13,288,WNW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.2,0.0,87,10,6,1019,31,100,6,43,4,39,3,38,12,19,3,38,0
