date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,0,9,49,4,7,213,SSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92,10,6,1015,30,11,9,49,8,47,8,47,9,14,8,47,0
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,300,9,48,4,6,187,S,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,93,10,6,1014,30,14,9,48,8,46,8,46,8,13,8,46,0
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,600,9,47,5,8,167,SSE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92,10,6,1011,30,20,9,47,7,45,7,45,9,14,7,45,0
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,900,13,55,6,10,170,S,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,77,10,6,1009,30,29,13,55,9,48,13,55,9,14,13,55,4
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,1200,18,65,8,13,209,SSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,60,10,6,1007,30,59,18,65,10,50,18,65,10,15,18,65,5
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,1500,19,66,6,10,220,SW,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.5,0.0,68,10,6,1006,30,66,19,66,13,55,19,66,8,13,19,66,4
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,1800,17,62,4,7,214,SW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.6,0.0,85,10,6,1005,30,58,17,62,14,58,17,62,7,12,17,62,0
2019-10-01,20,67,9,47,15,60,0.0,7.2,5,2100,15,59,8,13,232,SW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,1.8,0.1,90,9,5,1005,30,68,15,59,14,56,14,58,13,21,14,58,0
2019-10-02,15,59,7,45,13,56,0.0,4.3,3,0,14,56,10,15,231,SW,293,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Patchy light rain,2.4,0.1,92,9,5,1005,30,74,14,56,12,54,12,54,15,24,12,54,0
2019-10-02,15,59,7,45,13,56,0.0,4.3,3,300,13,56,9,14,222,SW,293,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Patchy light rain,1.8,0.1,93,9,5,1004,30,84,13,56,12,54,12,54,13,22,12,54,0
2019-10-02,15,59,7,45,13,56,0.0,4.3,3,600,13,56,8,13,227,SW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,2.1,0.1,93,9,5,1004,30,70,13,56,12,53,12,54,12,19,12,54,0
