date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,0,20,67,2,4,213,SSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,83,10,6,1013,30,4,21,69,17,62,20,67,5,8,20,67,0
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,300,18,64,3,5,195,SSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.1,0.0,89,10,6,1012,30,54,18,64,16,60,18,64,7,12,18,64,0
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,600,17,63,4,7,176,S,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.1,0.0,85,10,6,1013,30,84,17,63,15,59,17,63,7,12,17,63,0
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,900,21,69,5,8,204,SSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.6,0.0,74,9,5,1013,30,87,22,72,16,60,21,69,6,10,21,69,5
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,1200,24,76,6,10,258,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,1.5,0.1,62,9,5,1013,30,81,26,79,17,62,24,76,9,14,26,79,5
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,1500,24,75,9,14,304,WNW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,1.9,0.1,65,10,6,1013,30,60,26,78,17,63,24,75,13,21,26,78,5
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,1800,20,68,8,12,311,NW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,1.9,0.1,76,10,6,1014,30,65,21,69,16,60,20,68,12,19,20,68,0
2019-09-01,25,78,17,63,22,72,0.0,8.3,6,2100,18,64,5,8,298,WNW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.6,0.0,80,10,6,1016,30,57,18,64,14,58,18,64,9,14,18,64,0
2019-09-02,20,68,13,56,17,63,0.0,13.2,5,0,16,62,5,8,309,NW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,80,10,6,1017,31,50,16,62,13,55,16,62,9,15,16,62,0
2019-09-02,20,68,13,56,17,63,0.0,13.2,5,300,15,59,6,10,332,NNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,86,10,6,1018,31,47,15,59,13,55,15,58,11,18,15,58,0
2019-09-02,20,68,13,56,17,63,0.0,13.2,5,600,14,57,7,11,345,NNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,83,10,6,1020,31,56,14,57,11,52,13,56,11,18,13,56,0
2019-09-02,20,68,13,56,17,63,0.0,13.2,5,900,16,61,8,12,122,ESE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,68,10,6,1021,31,31,16,61,10,50,16,60,10,16,16,60,5
